title,available_globally?,release_date,hours_viewed,language_indicator,content_type,release_year,is_global,language_top,title_length,age_of_content
The Night Agent: Season 1,Yes,23-03-2023,812100000,English,Show,2023,TRUE,English,25,2
Ginny & Georgia: Season 2,Yes,05-01-2023,665100000,English,Show,2023,TRUE,English,25,2
The Glory: Season 1 // 더 글로리: 시즌 1,Yes,30-12-2022,622800000,Korean,Show,2022,TRUE,Korean,34,3
Wednesday: Season 1,Yes,23-11-2022,507700000,English,Show,2022,TRUE,English,19,3
Queen Charlotte: A Bridgerton Story,Yes,04-05-2023,503000000,English,Movie,2023,TRUE,English,35,2
You: Season 4,Yes,09-02-2023,440600000,English,Show,2023,TRUE,English,13,2
La Reina del Sur: Season 3,No,30-12-2022,429600000,English,Show,2022,TRUE,English,26,3
Outer Banks: Season 3,Yes,23-02-2023,402500000,English,Show,2023,TRUE,English,21,2
Ginny & Georgia: Season 1,Yes,24-02-2021,302100000,English,Show,2021,TRUE,English,25,4
FUBAR: Season 1,Yes,25-05-2023,266200000,English,Show,2023,TRUE,English,15,2
Manifest: Season 4,Yes,04-11-2022,262600000,English,Show,2022,TRUE,English,18,3
Kaleidoscope: Limited Series,Yes,01-01-2023,252500000,English,Movie,2023,TRUE,English,28,2
Firefly Lane: Season 2,Yes,02-12-2022,251500000,English,Show,2022,TRUE,English,22,3
The Mother,Yes,12-05-2023,249900000,English,Movie,2023,TRUE,English,10,2
Physical: 100: Season 1 // 피지컬: 100: 시즌 1,Yes,24-01-2023,235000000,Korean,Show,2023,TRUE,Korean,41,2
Crash Course in Romance: Limited Series // 일타 스캔들: 리미티드 시리즈,Yes,14-01-2023,234800000,Korean,Movie,2023,TRUE,Korean,59,2
Love Is Blind: Season 4,Yes,24-03-2023,229700000,English,Show,2023,TRUE,English,23,2
BEEF: Season 1,Yes,06-04-2023,221100000,English,Show,2023,TRUE,English,14,2
The Diplomat: Season 1,Yes,20-04-2023,214100000,English,Show,2023,TRUE,English,22,2
Luther: The Fallen Sun,Yes,10-03-2023,209700000,English,Movie,2023,TRUE,English,22,2
Fake Profile: Season 1 // Perfil falso: Temporada 1,No,31-05-2023,206500000,English,Show,2023,TRUE,English,51,2
Vikings: Valhalla: Season 2,Yes,12-01-2023,205500000,English,Show,2023,TRUE,English,27,2
Extraction 2,Yes,16-06-2023,201800000,English,Movie,2023,TRUE,English,12,2
"XO, Kitty: Season 1",Yes,18-05-2023,200700000,English,Show,2023,TRUE,English,19,2
Doctor Cha: Limited Series // 닥터 차정숙: 리미티드 시리즈,Yes,15-04-2023,194700000,Korean,Movie,2023,TRUE,Korean,46,2
Shadow and Bone: Season 2,Yes,16-03-2023,192900000,English,Show,2023,TRUE,English,25,2
Outer Banks: Season 1,Yes,15-04-2020,184000000,English,Show,2020,TRUE,English,21,5
Sweet Tooth: Season 2,Yes,27-04-2023,182300000,English,Show,2023,TRUE,English,21,2
You People,Yes,27-01-2023,181800000,English,Movie,2023,TRUE,English,10,2
Perfect Match: Season 1,Yes,14-02-2023,176800000,English,Show,2023,TRUE,English,23,2
Sex/Life: Season 2,Yes,02-03-2023,175500000,English,Show,2023,TRUE,English,18,2
The Marked Heart: Season 2 // Pálpito: Temporada 2,Yes,19-04-2023,174300000,Non-English,Show,2023,TRUE,Non-English,50,2
Murder Mystery 2,Yes,31-03-2023,173600000,English,Movie,2023,TRUE,English,16,2
The Surrogacy: Season 1 // Madre de alquiler: Temporada 1,No,14-06-2023,172400000,English,Show,2023,TRUE,English,57,2
"Pablo Escobar, el patrón del mal: Season 1",Yes,,170100000,Non-English,Show,,TRUE,Non-English,42,
Never Have I Ever: Season 4,Yes,08-06-2023,168300000,English,Show,2023,TRUE,English,27,2
Your Place or Mine,Yes,10-02-2023,163000000,English,Movie,2023,TRUE,English,18,2
Chiquititas (2013),No,,162000000,English,Movie,,TRUE,English,18,
Emily in Paris: Season 3,Yes,21-12-2022,161100000,English,Show,2022,TRUE,English,24,3
Alice in Borderland: Season 2 // 今際の国のアリス: シーズン2,Yes,22-12-2022,157600000,Japanese,Show,2022,TRUE,Japanese,48,3
Alchemy of Souls: Part 1 // 환혼: 파트 1,Yes,18-06-2022,155300000,Korean,Movie,2022,TRUE,Korean,36,3
Outer Banks: Season 2,Yes,30-07-2021,153900000,English,Show,2021,TRUE,English,21,4
New Amsterdam (2018): Season 1,No,,153000000,English,Show,,TRUE,English,30,
Til Money Do Us Part: Season 1 // Hasta que la plata nos separe: Temporada 1,No,19-10-2022,152100000,English,Show,2022,TRUE,English,76,3
Mr. Queen // 철인왕후,No,,151500000,Korean,Movie,,TRUE,Korean,17,
